MANUFACTURER,MANUFACTURER IMG,Brand,Brand aka,Brand IMG,Line,Cigar,Cigar IMG,Vitola,LENGTH,RG,SHAPE,WRAPPER,BINDER,FILLER,ORIGIN,WRAPPER SHADE,STRENGTH,Box Pressed,Tubo,F/S,TIN,Pack,Barber,Favorite,MSRP,Box MSRP,Box Count,Inventory,Keystone1,Box Cost,Cigar Cost,Net,PRODUCT #,Master Case
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Bella Artes Maduro Rojita Robusto,,Robusto,5.50,52,Parejo,Brazil Mata Fina,Mexican San Andres,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Bella Artes Maduro Rojita Short Churchill,,Short Churchill,6.00,48,Parejo,Brazil Mata Fina,Mexican San Andres,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Bella Artes Maduro Rojita Toro,,Toro,6.00,54,Parejo,Brazil Mata Fina,Mexican San Andres,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,AJF Dias de Gloria Gordo,,Gordo,6.00,58,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,AJF Dias De Gloria Robusto,,Robusto,5.50,52,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,AJF Dias De Gloria Brazil Churchill,,Short Churchill,6.50,48,Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,AJF Dias De Gloria Brazil Toro,,Toro Gordo,6.00,56,Box-Pressed Parejo,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Natural,Medium,BP,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Enclave Broadleaf Churchill,,Churchill,7.00,52,Parejo,Connecticut Broadleaf,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Enclave Broadleaf Robusto,,Robusto,5.00,52,Parejo,Connecticut Broadleaf,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Enclave Broadleaf Toro,,Toro,6.50,54,Parejo,Connecticut Broadleaf,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Enclave Broadleaf Belicoso,,Belicoso,6.00,56,Pyramid,Connecticut Broadleaf,Nicaragua,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Enclave Habano Figurado,,Figurado,6.50,52,Figurado,Ecuador,Cameroon,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Enclave Habano Churchill,,Churchill,7.00,52,Parejo,Ecuador,Cameroon,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Enclave Habano Robusto,,Robusto,5.00,52,Parejo,Ecuador,Cameroon,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
